id,datetime,date,time,latitude,longitude,depth,type,magnitude,region
551828,2023-02-21T23:58:18,2023-02-21,23:58:18,36.231,36.067,7.03,ML,1.4,Defne (Hatay)
551827,2023-02-21T23:55:39,2023-02-21,23:55:39,36.184,35.948,7.07,ML,1.7,Samandağ (Hatay)
551826,2023-02-21T23:47:55,2023-02-21,23:47:55,36.659,36.432,5.82,ML,3.1,Hassa (Hatay)
551825,2023-02-21T23:45:41,2023-02-21,23:45:41,37.108,36.662,6.96,ML,1.9,İslahiye (Gaziantep)
551813,2023-02-21T23:44:09,2023-02-21,23:44:09,36.25,36.025,7.0,ML,2.6,Samandağ (Hatay)
551824,2023-02-21T23:42:36,2023-02-21,23:42:36,38.172,38.696,7.0,ML,0.9,Pütürge (Malatya)
551822,2023-02-21T23:41:06,2023-02-21,23:41:06,37.388,36.869,6.36,ML,1.5,Türkoğlu (Kahramanmaraş)
551815,2023-02-21T23:39:09,2023-02-21,23:39:09,36.242,35.968,7.01,ML,1.6,Samandağ (Hatay)
551821,2023-02-21T23:37:24,2023-02-21,23:37:24,38.057,37.279,7.0,ML,2.1,Nurhak (Kahramanmaraş)
551819,2023-02-21T23:35:15,2023-02-21,23:35:15,37.969,36.311,7.0,ML,3.3,Göksun (Kahramanmaraş)
551823,2023-02-21T23:33:46,2023-02-21,23:33:46,38.184,37.912,7.0,ML,1.8,Doğanşehir (Malatya)
551817,2023-02-21T23:32:07,2023-02-21,23:32:07,36.241,36.084,8.0,ML,1.6,Antakya (Hatay)
551812,2023-02-21T23:30:28,2023-02-21,23:30:28,36.69,36.276,11.79,ML,2.6,İskenderun (Hatay)
551816,2023-02-21T23:29:51,2023-02-21,23:29:51,36.21,36.008,6.23,ML,2.1,Samandağ (Hatay)
551811,2023-02-21T23:28:31,2023-02-21,23:28:31,38.032,37.633,6.96,ML,2.1,Doğanşehir (Malatya)
551810,2023-02-21T23:25:33,2023-02-21,23:25:33,36.791,36.174,9.47,ML,2.0,Akdeniz - İskenderun Körfezi - [04.32 km] Payas (Hatay)
551820,2023-02-21T23:18:34,2023-02-21,23:18:34,37.645,30.988,12.94,ML,2.2,Eğirdir (Isparta)
551809,2023-02-21T23:17:03,2023-02-21,23:17:03,38.131,36.784,6.8,ML,2.8,Afşin (Kahramanmaraş)
551818,2023-02-21T23:16:44,2023-02-21,23:16:44,37.059,28.461,7.0,ML,1.3,Ula (Muğla)
551814,2023-02-21T23:15:55,2023-02-21,23:15:55,36.226,35.985,7.0,ML,2.4,Samandağ (Hatay)
551791,2023-02-21T23:09:41,2023-02-21,23:09:41,37.641,30.923,10.31,ML,2.6,Eğirdir (Isparta)
551799,2023-02-21T23:09:18,2023-02-21,23:09:18,37.455,36.944,7.0,ML,1.8,Dulkadiroğlu (Kahramanmaraş)
551802,2023-02-21T23:05:42,2023-02-21,23:05:42,36.193,36.025,6.44,ML,2.1,Samandağ (Hatay)
551789,2023-02-21T23:05:40,2023-02-21,23:05:40,36.01,30.521,18.17,ML,2.5,Akdeniz - [36.14 km] Kumluca (Antalya)
551796,2023-02-21T23:05:34,2023-02-21,23:05:34,38.052,38.448,7.0,ML,1.0,Sincik (Adıyaman)
551794,2023-02-21T23:03:09,2023-02-21,23:03:09,38.177,37.809,7.19,ML,1.9,Doğanşehir (Malatya)
551792,2023-02-21T23:00:38,2023-02-21,23:00:38,38.103,37.759,7.36,ML,1.8,Doğanşehir (Malatya)
551804,2023-02-21T22:57:03,2023-02-21,22:57:03,38.242,37.836,7.0,ML,1.5,Doğanşehir (Malatya)
551801,2023-02-21T22:56:10,2023-02-21,22:56:10,38.201,38.146,7.0,ML,1.7,Yeşilyurt (Malatya)
551803,2023-02-21T22:55:28,2023-02-21,22:55:28,38.072,37.743,7.01,ML,1.6,Doğanşehir (Malatya)
551808,2023-02-21T22:55:19,2023-02-21,22:55:19,36.141,36.128,7.02,ML,2.1,Defne (Hatay)
551797,2023-02-21T22:54:39,2023-02-21,22:54:39,38.536,39.92,7.0,ML,1.0,Alacakaya (Elazığ)
551800,2023-02-21T22:50:33,2023-02-21,22:50:33,38.175,38.271,7.0,ML,1.1,Yeşilyurt (Malatya)
551798,2023-02-21T22:49:45,2023-02-21,22:49:45,38.201,38.761,11.66,ML,1.1,Pütürge (Malatya)
551806,2023-02-21T22:47:13,2023-02-21,22:47:13,36.299,36.094,7.0,ML,2.2,Antakya (Hatay)
551795,2023-02-21T22:46:42,2023-02-21,22:46:42,38.569,38.884,7.02,ML,1.2,Baskil (Elazığ)
551805,2023-02-21T22:46:34,2023-02-21,22:46:34,36.226,36.026,7.11,ML,2.4,Samandağ (Hatay)
551807,2023-02-21T22:45:22,2023-02-21,22:45:22,36.273,36.078,7.0,ML,1.8,Antakya (Hatay)
551793,2023-02-21T22:45:00,2023-02-21,22:45:00,38.203,39.893,18.35,ML,1.6,Ergani (Diyarbakır)
551778,2023-02-21T22:44:13,2023-02-21,22:44:13,37.937,38.523,6.8,ML,1.1,Sincik (Adıyaman)
551785,2023-02-21T22:42:00,2023-02-21,22:42:00,36.576,36.54,7.0,ML,2.0,Kırıkhan (Hatay)
551776,2023-02-21T22:41:01,2023-02-21,22:41:01,37.307,36.79,9.18,ML,1.6,Türkoğlu (Kahramanmaraş)
551790,2023-02-21T22:38:27,2023-02-21,22:38:27,38.543,40.368,6.99,ML,1.5,Hani (Diyarbakır)
551783,2023-02-21T22:37:57,2023-02-21,22:37:57,38.039,37.539,7.0,ML,2.0,Nurhak (Kahramanmaraş)
551787,2023-02-21T22:37:40,2023-02-21,22:37:40,36.901,34.332,7.0,ML,1.3,Mezitli (Mersin)
551788,2023-02-21T22:37:27,2023-02-21,22:37:27,37.067,28.473,6.99,ML,1.3,Ula (Muğla)
551779,2023-02-21T22:37:17,2023-02-21,22:37:17,38.235,38.753,7.0,ML,0.8,Pütürge (Malatya)
551782,2023-02-21T22:35:34,2023-02-21,22:35:34,38.033,37.685,8.47,ML,1.8,Doğanşehir (Malatya)
551786,2023-02-21T22:34:49,2023-02-21,22:34:49,36.646,36.479,7.0,ML,1.6,Kırıkhan (Hatay)
551784,2023-02-21T22:31:03,2023-02-21,22:31:03,38.134,37.398,7.02,ML,1.7,Elbistan (Kahramanmaraş)
551777,2023-02-21T22:28:09,2023-02-21,22:28:09,37.109,36.926,7.0,ML,1.6,Nurdağı (Gaziantep)
551780,2023-02-21T22:26:32,2023-02-21,22:26:32,37.055,28.478,6.93,ML,1.4,Ula (Muğla)
551774,2023-02-21T22:25:54,2023-02-21,22:25:54,38.014,36.224,7.09,ML,2.4,Saimbeyli (Adana)
551773,2023-02-21T22:21:44,2023-02-21,22:21:44,36.909,36.528,7.0,ML,2.3,İslahiye (Gaziantep)
551772,2023-02-21T22:20:45,2023-02-21,22:20:45,36.269,35.951,8.2,ML,2.5,Samandağ (Hatay)
551771,2023-02-21T22:18:31,2023-02-21,22:18:31,37.741,36.627,5.7,ML,1.8,Onikişubat (Kahramanmaraş)
551781,2023-02-21T22:18:27,2023-02-21,22:18:27,36.692,27.76,7.09,ML,1.4,Ege Denizi - [07.69 km] Datça (Muğla)
551770,2023-02-21T22:15:07,2023-02-21,22:15:07,36.856,36.502,6.97,ML,1.8,Hassa (Hatay)
551769,2023-02-21T22:13:19,2023-02-21,22:13:19,35.472,35.574,6.06,MW,3.8,Akdeniz
551768,2023-02-21T22:11:02,2023-02-21,22:11:02,36.899,36.794,7.0,ML,1.3,Musabeyli (Kilis)
551766,2023-02-21T22:10:09,2023-02-21,22:10:09,37.265,36.868,7.0,ML,1.6,Nurdağı (Gaziantep)
551751,2023-02-21T22:08:17,2023-02-21,22:08:17,37.143,36.7,8.38,MW,3.4,Nurdağı (Gaziantep)
551758,2023-02-21T22:07:15,2023-02-21,22:07:15,36.858,36.307,7.0,ML,2.0,Dörtyol (Hatay)
551755,2023-02-21T22:04:37,2023-02-21,22:04:37,36.268,36.26,6.85,ML,1.5,Antakya (Hatay)
551753,2023-02-21T22:02:07,2023-02-21,22:02:07,36.252,36.093,6.51,ML,1.8,Antakya (Hatay)
551748,2023-02-21T22:01:59,2023-02-21,22:01:59,38.476,39.535,8.88,ML,1.3,Maden (Elazığ)
551747,2023-02-21T22:00:42,2023-02-21,22:00:42,38.241,38.477,8.65,ML,1.7,Battalgazi (Malatya)
551746,2023-02-21T22:00:41,2023-02-21,22:00:41,38.176,38.453,7.0,ML,2.3,Battalgazi (Malatya)
551761,2023-02-21T21:59:26,2023-02-21,21:59:26,36.082,27.687,6.1,ML,2.0,Ege Denizi - [69.54 km] Datça (Muğla)
551764,2023-02-21T21:59:03,2023-02-21,21:59:03,36.156,35.934,7.04,ML,2.4,Samandağ (Hatay)
551750,2023-02-21T21:58:49,2023-02-21,21:58:49,38.247,38.61,25.28,ML,1.1,Pütürge (Malatya)
551763,2023-02-21T21:58:09,2023-02-21,21:58:09,36.168,35.95,6.81,ML,2.0,Samandağ (Hatay)
551749,2023-02-21T21:57:59,2023-02-21,21:57:59,38.253,38.241,7.68,ML,1.8,Yeşilyurt (Malatya)
551752,2023-02-21T21:56:04,2023-02-21,21:56:04,38.122,38.533,7.0,ML,1.5,Sincik (Adıyaman)
551762,2023-02-21T21:55:31,2023-02-21,21:55:31,36.122,36.053,7.0,ML,2.6,Samandağ (Hatay)
551765,2023-02-21T21:55:05,2023-02-21,21:55:05,37.807,35.9,7.12,ML,1.7,Feke (Adana)
551756,2023-02-21T21:53:04,2023-02-21,21:53:04,38.13,38.067,6.99,ML,1.4,Doğanşehir (Malatya)
551760,2023-02-21T21:52:30,2023-02-21,21:52:30,36.175,36.04,6.63,ML,1.7,Samandağ (Hatay)
551759,2023-02-21T21:49:48,2023-02-21,21:49:48,36.122,36.023,7.0,ML,3.1,Samandağ (Hatay)
551754,2023-02-21T21:48:19,2023-02-21,21:48:19,38.051,37.29,7.0,ML,1.8,Nurhak (Kahramanmaraş)
551757,2023-02-21T21:47:26,2023-02-21,21:47:26,36.274,35.999,6.78,ML,2.1,Samandağ (Hatay)
551767,2023-02-21T21:46:06,2023-02-21,21:46:06,37.771,30.149,7.0,ML,1.3,Merkez (Burdur)
551775,2023-02-21T21:44:46,2023-02-21,21:44:46,38.001,36.604,6.96,ML,1.9,Göksun (Kahramanmaraş)
551736,2023-02-21T21:44:11,2023-02-21,21:44:11,36.214,35.959,7.0,ML,2.2,Samandağ (Hatay)
551741,2023-02-21T21:43:10,2023-02-21,21:43:10,38.351,38.303,7.01,ML,1.3,Yeşilyurt (Malatya)
551744,2023-02-21T21:41:01,2023-02-21,21:41:01,37.854,36.104,7.0,ML,1.7,Saimbeyli (Adana)
551739,2023-02-21T21:38:18,2023-02-21,21:38:18,38.118,38.417,7.04,ML,2.1,Yeşilyurt (Malatya)
551743,2023-02-21T21:37:24,2023-02-21,21:37:24,37.859,36.318,7.0,ML,1.6,Göksun (Kahramanmaraş)
551742,2023-02-21T21:36:08,2023-02-21,21:36:08,37.852,36.177,7.0,ML,1.5,Saimbeyli (Adana)
551738,2023-02-21T21:34:46,2023-02-21,21:34:46,38.043,38.403,7.01,ML,1.8,Çelikhan (Adıyaman)
551731,2023-02-21T21:32:05,2023-02-21,21:32:05,36.24,36.038,6.96,ML,2.9,Antakya (Hatay)
551737,2023-02-21T21:30:39,2023-02-21,21:30:39,38.044,38.257,7.0,ML,1.1,Çelikhan (Adıyaman)
551733,2023-02-21T21:30:25,2023-02-21,21:30:25,36.128,35.913,7.0,ML,2.0,Akdeniz - Antakya Körfezi - [02.16 km] Samandağ (Hatay)
551740,2023-02-21T21:27:46,2023-02-21,21:27:46,37.334,37.087,6.99,ML,1.2,Pazarcık (Kahramanmaraş)
551745,2023-02-21T21:27:24,2023-02-21,21:27:24,37.81,30.759,10.57,ML,2.1,Merkez (Isparta)
551734,2023-02-21T21:23:38,2023-02-21,21:23:38,38.138,38.073,7.43,ML,1.8,Doğanşehir (Malatya)
551735,2023-02-21T21:22:49,2023-02-21,21:22:49,38.09,38.527,7.0,ML,1.3,Sincik (Adıyaman)
551729,2023-02-21T21:18:18,2023-02-21,21:18:18,38.031,36.669,7.06,MW,3.3,Göksun (Kahramanmaraş)
551730,2023-02-21T21:14:25,2023-02-21,21:14:25,36.054,35.992,7.0,ML,2.8,Samandağ (Hatay)
551727,2023-02-21T21:10:05,2023-02-21,21:10:05,38.294,38.224,7.0,ML,1.5,Yeşilyurt (Malatya)
